number,value,learning_rate,batch_size
0,0.5046913580246913,7.181545252633672e-05,12
1,0.5004691358024691,0.00023117121745115925,16
2,0.49713580246913575,0.00036948961088643413,16
3,0.5514074074074075,0.00010627592365586418,32
7,0.5150370370370371,6.208075984538299e-05,16
8,0.5320987654320988,0.0003438561747129309,32
9,0.48562962962962963,9.597440792075392e-05,32
10,0.4951851851851852,1.3426643035468917e-05,32
11,0.5461481481481482,0.0001771900806796821,24
12,0.4887901234567901,1.5497317345757875e-05,32
13,0.47790123456790123,4.024339704148724e-05,24
14,0.566,0.0001410103566361548,24
